기업명,평균 학점,평균 토익점수,평균 토익스피킹 점수,평균 오픽점수,평균 외국어 개수,평균 자격증 개수,평균 해외경험 횟수,평균 인턴경험 횟수,평균 수상 횟수,평균 봉사 횟수,자격증
코오롱인더스트리㈜,3.66,842점,IM3,IH,1.3개,2.1개,1.2회,1.1회,1.3회,1.7회,"화공기사, 가스기사, 컴퓨터활용능력 2급, 한자능력검정, MOS"
국민연금공단,3.65,788점,IH,IM2,1.3개,2.4개,1.2회,1.3회,2.1회,2.1회,"워드프로세서 1급, 컴퓨터활용능력 2급, 워드프로세서 2급, 사무자동화산업기사, 정보처리기사"
한국발명진흥회,3.62,837점,AL,-,1개,2.2개,1.1회,1.5회,1.7회,2회,"정보처리기사, MOS, 컴퓨터활용능력 2급, 사무자동화산업기사, 워드프로세서 1급"
㈜썬스타특수정밀,3.4,779점,AL,IM2,1.2개,1.9개,1.6회,1.3회,1.5회,1.7회,"정보기기운용기능사, 정보처리기능사, 전자기기기능사, 워드프로세서 2급, 수치제어선반기능사"
(주)평화엔지니어링,3.59,870점,-,IM3,1개,1.7개,1.4회,1회,1회,1.7회,"토목기사, 워드프로세서 2급, 컴퓨터활용능력 3급, 정보기기운용기능사, MOS"
이니텍(주),3.45,802점,IM3,IM2,-,2.3개,1.2회,2.5회,1.5회,2.5회,"정보처리기사, SCJP, 정보기기운용기능사, OCJP-Oracle, 인터넷정보검색사 2급"
삼천당제약(주),3.51,672점,-,-,-,2.8개,1회,-,2회,2.3회,"정보기기운용기능사, 컴퓨터활용능력 3급, 워드프로세서 2급, 정보처리기능사, 전산회계운용사(전산회계사) 3급"
㈜썬앳푸드,3.69,739점,IM3,IM1,1.1개,2.3개,1.3회,1.5회,1.9회,1.5회,"한식조리기능사, 양식조리기능사, 워드프로세서 1급, 중식조리기능사, 워드프로세서 2급"
MBC PLAY BE,3.58,722점,-,NH,1.3개,1.9개,1회,2회,1회,1.7회,"MOS, 워드프로세서 2급, 상공회의소한자, 워드프로세서 1급, 게임그래픽전문가"
㈜지엔코,3.5,742점,IH,IH,1.2개,1.5개,1.3회,2회,2회,1.7회,"유통관리사, 컴퓨터활용능력 2급, 정보처리기능사, 정보처리기사, 정보처리산업기사"
일야,3.6,643점,IH,-,1개,2.5개,1.7회,2.5회,-,1.7회,"정보기술자격(ITQ)인증시험, 정보처리기능사, 컴퓨터활용능력 3급, 전산회계 1급, 전산회계운용사(전산회계사) 3급"
(주)와이비엠넷,3.6,799점,IH,IH,1.1개,2.4개,1.2회,2회,1.8회,1.6회,"워드프로세서 1급, 사무자동화산업기사, 정보처리기사, 워드프로세서 2급, 컴퓨터활용능력 2급"
(주)코디,3.59,905점,AL,IL,1.3개,2개,1.3회,1회,1회,1회,"워드프로세서 2급, 컴퓨터활용능력 2급, 정보기기운용기능사, 정보처리기사, 컴퓨터활용능력 3급"
(주)디아이,3.67,766점,-,-,1.3개,2.6개,1.3회,2회,1회,1회,"정보처리기사, 정보기기운용기능사, 리눅스마스터 2급, 무선설비산업기사, 컴퓨터활용능력 2급"
한올바이오파마(주),3.57,640점,-,IM3,1개,2.3개,1.2회,1회,1회,1.7회,"워드프로세서 1급, 컴퓨터활용능력 2급, 정보처리기능사, 사무자동화산업기사, 문서실무 1급"
(주)비에이치,3.46,795점,IH,IM1,1.3개,2.2개,1.8회,1.8회,1.7회,2.3회,"워드프로세서 1급, 컴퓨터활용능력 2급, 전산회계 1급, MOS, 컴퓨터활용능력 3급"
한국도심공항자산관리(주),3.58,830점,-,-,1개,1.1개,1회,-,-,2회,"MOS, 생활체육지도자 3급, 워드프로세서 2급, 정보기기운용기능사, 정보처리기사"
(주)진주햄,3.44,644점,IH,IL,-,2.4개,1.5회,1.3회,2회,2.3회,"MOS, 워드프로세서 2급, 식품기사, 워드프로세서 1급, 컴퓨터활용능력 2급"
(주)홈센타홀딩스,3.57,-,-,-,-,2.2개,-,2회,-,1회,"유통관리사, 인터넷정보검색사 2급, 자동차정비기능사, 정보기기운용기능사, 정보처리기능사"
(주)아바코,3.63,733점,-,-,2개,2.4개,1.5회,1.5회,5회,2.3회,"전산응용기계제도기능사, 정보기기운용기능사, 정보기술자격(ITQ)인증시험, 지게차운전기능사, 컬러리스트산업기사"
대한뉴팜㈜,3.35,757점,-,-,1개,1.6개,1회,1회,1회,1.3회,"워드프로세서 2급, 사무자동화산업기사, 정보기기운용기능사, 정보처리기사, 컴퓨터활용능력 2급"
㈜제일테크노스,3.59,755점,-,-,-,2.5개,1.5회,1회,2회,4회,"컴퓨터활용능력 2급, GTQ 1급, MOS, 콘크리트산업기사, AutoCAD 1급 기술자격시험"
UPSSCS코리아(주),3.42,834점,AL,IM1,1개,2.4개,1.2회,2회,-,1.5회,"정보처리기사, 워드프로세서 2급, 전산회계 1급, 정보처리기능사, 일본어 능력시험(JLPT)"
㈜유티아이코리아,3.59,888점,-,AL,1개,1.8개,1.3회,2회,-,2회,"무역영어, 컴퓨터활용능력 2급, 한자능력검정, MOS, MOUS"
(주)오디텍,3.64,733점,IM2,IM2,1개,1.9개,1.4회,1회,1.7회,1.7회,"정보기술자격(ITQ)인증시험, 워드프로세서 1급, 워드프로세서 2급, 사무자동화산업기사, 정보기기운용기능사"
에스엔유프리시젼(주),3.44,740점,-,-,1.7개,2.2개,1.7회,2회,2.1회,1.3회,"워드프로세서 1급, 전산응용기계제도기능사, 정보기기운용기능사, 컴퓨터활용능력 2급, 정보기술자격(ITQ)인증시험"
진양제약(주),3.43,715점,-,IM2,1개,2.4개,1.3회,1.2회,1.5회,2회,"워드프로세서 2급, MOS, 컴퓨터활용능력 2급, 워드프로세서 1급, 유통관리사"
(주)서울리거,3.29,613점,-,-,1개,2.8개,1회,-,1회,2회,"워드프로세서 2급, 정보처리기능사, 전기공사기사, 전산세무 2급, 정보기기운용기능사"
삼지전자㈜,3.43,712점,-,IM2,1개,2.3개,1.5회,-,1회,1.5회,"워드프로세서 1급, 컴퓨터활용능력 2급, 정보처리기능사, 워드프로세서 2급, 정보기기운용기능사"
㈜태광이엔시,3.74,860점,-,-,-,1.9개,1회,-,-,-,"정보처리기사, 지게차운전기능사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 3급, 굴삭기운전기능사"
와이더블유㈜,3.63,655점,IH,-,1개,2.1개,1.3회,-,-,1회,"사무자동화산업기사, 정보처리기사, 정보처리산업기사, MOS, 컴퓨터활용능력 2급"
(주)프로텍,3.49,835점,IH,-,1.5개,1.8개,1.6회,1회,2회,2회,"워드프로세서 2급, 증권투자상담사, 컴퓨터활용능력 2급, 한자 자격 시험, ICDL(International Computer Driving Licence)"
(주)예당컴퍼니,3.4,820점,-,IM1,1.3개,2.1개,1.4회,2회,1회,2회,"정보처리기능사, 전자기기기능사, 정보기기운용기능사, 워드프로세서 1급, 워드프로세서 2급"
한국정보통신(주),3.46,812점,IM3,AL,1개,2개,1.4회,1회,1.3회,2회,"정보처리기사, 사무자동화산업기사, MOS, OCP, PC정비사 2급"
에이치엘비(주),3.44,785점,IH,-,-,1.8개,1회,-,-,2회,"사진기능사, 워드프로세서 2급, 전기기능사, 전기산업기사, 전산회계 1급"
(주)한국애보트진단,3.61,821점,IM3,IM3,1개,2.5개,1.8회,1회,5회,2.4회,"정보기술자격(ITQ)인증시험, 전산회계 2급, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 웹디자인기능사"
(주)유라테크,3.53,798점,IM3,IM1,1개,2.6개,1.1회,2회,3회,1.8회,"워드프로세서 1급, 무역영어, 전기공사기사, 한자 자격 시험, 컴퓨터활용능력 2급"
삼영엠텍(주),3.85,683점,IH,-,1.5개,2.6개,1.6회,1.5회,1.3회,-,"워드프로세서 1급, CFP, MOS, TIQ, 워드프로세서 3급"
(주)기산텔레콤,3.78,675점,-,-,1개,2.2개,-,1회,2.3회,1회,"네트워크관리사 2급, 정보처리기사, 정보처리산업기사, 인터넷정보검색사 1급, 전자기기기능사"
(주)동일기연,3.64,773점,IH,-,1개,2.3개,1.3회,-,2회,4회,"워드프로세서 2급, 컴퓨터활용능력 2급, 전자기기기능사, 전기공사기사, 전기기능사"
(주)씨티씨바이오,3.56,866점,IH,IH,-,2.5개,1회,-,1회,1회,"사무자동화산업기사, 워드프로세서 2급, 위생사, MOS, MOUS"
(주)네오리진,3.56,714점,IM1,IM3,-,2.5개,1.1회,-,3회,2.3회,"정보처리기사, CCNA, CCNP, 워드프로세서 1급, 컴퓨터활용능력 2급"
다스코(주),3.7,615점,IH,-,1개,2.2개,1회,-,-,-,"워드프로세서 1급, 전기기능사, 건축기사, 정보기기운용기능사, 승강기기능사"
한국무역보험공사,3.65,809점,IH,IM1,1.1개,2.6개,1.2회,1.6회,1.3회,1.5회,"워드프로세서 1급, 컴퓨터활용능력 2급, 사무자동화산업기사, 컴퓨터활용능력 3급, 정보기기운용기능사"
㈜매경닷컴,3.35,874점,-,AL,1개,2개,1.2회,2회,1.4회,1.5회,"정보처리기사, 컴퓨터활용능력 2급, 워드프로세서 1급, 정보처리기능사, 워드프로세서 3급"
강원도개발공사,3.62,874점,AL,-,1.5개,2.7개,1.1회,1.1회,2회,1회,"측량기능사, 지적기사, 도시계획기사, 워드프로세서 2급, 사무자동화산업기사"
대한법률구조공단,3.6,846점,-,-,1.3개,2.3개,1.5회,1.5회,1.7회,1회,"정보기기운용기능사, 워드프로세서 2급, 변호사, 사무자동화산업기사, 워드프로세서 1급"
한국예탁결제원,3.5,784점,IM3,IH,1.6개,2개,1.2회,1.1회,1.3회,2회,"워드프로세서 2급, 정보처리기능사, 워드프로세서 1급, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급"
(재)연구개발특구진흥재단,3.72,-,-,-,1개,3.3개,1회,1회,1회,2회,"정보처리산업기사, 워드프로세서 1급, 인터넷정보검색사 2급, 전산회계 2급, 전자상거래관리사 2급"
(재)한국농림수산정보센터,3.61,700점,-,-,1.3개,2개,1회,1회,1회,2.3회,"워드프로세서 1급, 중등학교정교사, MOS, PC정비사 1급, 컴퓨터활용능력 3급"
한국에스지에스(주),3.55,779점,IH,-,1개,2.3개,1.1회,1.5회,1.2회,2.4회,"사무자동화산업기사, MOS, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 워드프로세서 1급"
㈜넥솔론,3.62,793점,IH,IM1,1개,2.2개,1.2회,2회,1.6회,1.5회,"워드프로세서 1급, 워드프로세서 2급, 정보처리기능사, 전자기기기능사, 수치제어선반기능사"
아주프라퍼티즈(주),3.47,734점,-,-,1개,2.4개,1회,-,2회,-,"워드프로세서 2급, MOS, 컴퓨터활용능력 3급, 정보처리기능사, 정보처리기사"
한미사이언스㈜,3.55,799점,IM3,IM2,1.5개,2.4개,1.2회,1.9회,2.4회,1.8회,"워드프로세서 1급, MOS, 컴퓨터활용능력 2급, 정보처리기능사, 전산회계운용사(전산회계사) 3급"
이베스트투자증권(주),3.59,812점,AH/AM,-,1개,2.3개,1.1회,1.8회,1.2회,1.7회,"증권투자상담사, 증권펀드투자상담사, AFPK, MOS, 워드프로세서 2급"
킨코스코리아(주),3.42,789점,IM3,-,1.5개,2.1개,1.3회,2회,1.6회,2회,"워드프로세서 1급, 컴퓨터활용능력 2급, 컴퓨터그래픽스운용기능사, 컬러리스트산업기사, 워드프로세서 2급"
㈜쎄라텍,3.52,661점,-,-,1개,2.1개,1.3회,1.3회,1.5회,2회,"워드프로세서 1급, 정보기기운용기능사, 전기기기기능사, MOS, 사무자동화산업기사"
(주)동아엘텍,3.46,755점,-,-,-,2개,1.5회,1회,-,2회,"회계관리 1급, 회계관리 2급, 재경관리사, 전기기사, 정보처리산업기사"
유니셈,3.49,738점,IM1,IM2,1.3개,1.9개,1.3회,2.7회,2.7회,1.5회,"워드프로세서 2급, 전자기기기능사, 워드프로세서 1급, 전기공사기능사, 컴퓨터활용능력 2급"
㈜핸디소프트,3.6,701점,IM1,-,1개,2.4개,1회,1회,-,1회,"정보처리기사, OCP, SCJP, 정보처리산업기사, 정보기기운용기능사"
(주)글로앤웰,3.88,797점,-,-,3.5개,2.6개,1.4회,1회,3.3회,1회,"新 HSK6급, 정보처리기사, HSK고급회화, 워드프로세서 1급, 워드프로세서 3급"
(주)케이피엠테크,3.54,773점,-,-,1.5개,1.9개,1.2회,1회,1회,2.3회,"정보기술자격(ITQ)인증시험, 컴퓨터활용능력 3급, 전산회계 1급, MOS, 워드프로세서 1급"
(주)인포바인,3.59,545점,-,-,2개,2.2개,1회,2.2회,-,1.3회,"정보기기운용기능사, 정보처리기능사, 정보처리기사, 컴퓨터활용능력 2급, CCNA"
㈜인지소프트,3.7,778점,IH,IL,1개,1.9개,1.4회,1회,1.4회,1.5회,"정보처리기사, 워드프로세서 1급, 워드프로세서 2급, 정보처리산업기사, 정보기기운용기능사"
㈜케이엑스하이텍,3.54,748점,-,-,1개,2.1개,1회,1회,1회,1.3회,"정보기기운용기능사, 정보기술자격(ITQ)인증시험, 컴퓨터활용능력 3급, 기계설계산업기사, 워드프로세서 1급"
(주)지니뮤직,3.66,773점,IM1,IM3,1개,2개,1회,1회,1.5회,2회,"워드프로세서 1급, 워드프로세서 3급, 정보기기운용기능사, 증권투자상담사, 정보처리기능사"
알에프세미,3.55,600점,-,-,1.5개,2.1개,1.5회,1회,-,2회,"워드프로세서 1급, 컴퓨터활용능력 3급, 컴퓨터활용능력 2급, 워드프로세서 2급, 전산회계운용사(전산회계사) 3급"
㈜아모텍,3.65,771점,IM2,IM3,1.1개,1.8개,1.3회,1.1회,1.1회,1.8회,"워드프로세서 2급, 정보처리기능사, 컴퓨터활용능력 2급, MOS, 컴퓨터활용능력 3급"
(주)리드코프,3.47,769점,-,IL,1개,2개,1.3회,1.3회,1.8회,2회,"MOS, 워드프로세서 2급, 컴퓨터활용능력 2급, 유통관리사, 사무자동화산업기사"
(주)파라텍,3.44,823점,-,-,1개,2.3개,1.5회,-,-,1회,"워드프로세서 2급, 용접산업기사, 워드프로세서 1급, 정보기기운용기능사, 컴퓨터활용능력 2급"
㈜아이피에스,3.73,880점,-,-,1개,2개,1.5회,-,-,-,"기계제도기능사, 무선설비산업기사, 선반기능사, 워드프로세서 1급, 워드프로세서 3급"
현대에이치티㈜,3.6,750점,-,-,2개,2.6개,1.2회,1회,-,1회,"워드프로세서 1급, 정보기기운용기능사, 워드프로세서 2급, 컴퓨터활용능력 2급, 정보처리산업기사"
하이록코리아,3.63,788점,AL,IM3,1개,1.9개,1.8회,-,1회,-,"공유압기능사, 무역영어, 자동차정비기능사, 정보처리기사, 선반기능사"
㈜오리콤,3.59,848점,IH,IM3,1개,2.2개,1회,1.6회,2.2회,1.6회,"컴퓨터활용능력 2급, 워드프로세서 1급, 전산회계 1급, 워드프로세서 2급, 전산세무 2급"
한국정보공학㈜,3.49,743점,-,IM1,-,2.3개,1.6회,-,2회,1회,"정보처리기사, 정보처리산업기사, 사무자동화산업기사, 워드프로세서 1급, 인터넷정보검색사 2급"
(주)제이앤유글로벌,3.74,727점,-,-,1개,1.9개,1.3회,4회,2회,-,"워드프로세서 1급, 인터넷정보검색사 2급, 사무자동화산업기사, 컴퓨터활용능력 3급, 품질관리산업기사"
(주)디지틀조선일보,3.66,781점,IH,IM2,1.2개,2.1개,1.3회,1.5회,2.7회,2.2회,"정보처리기사, MOS, 컴퓨터그래픽스운용기능사, 워드프로세서 2급, 워드프로세서 1급"
보성파워텍(주),3.55,877점,-,-,1개,2.4개,1회,2.5회,3회,1회,"워드프로세서 2급, 정보기기운용기능사, MOS, 전산회계 1급, 컴퓨터활용능력 3급"
(주)이엠따블유,3.54,805점,-,IM1,1개,1.7개,-,-,-,1회,"워드프로세서 1급, 컴퓨터활용능력 2급, 수치제어밀링기능사, 워드프로세서 2급, 정보처리산업기사"
우림기계(주),3.31,610점,-,-,1.5개,2개,1회,-,-,-,"수치제어밀링기능사, 수치제어선반기능사, 워드프로세서 1급, 전산응용기계제도기능사, 전자기기기능사"
케이에이치필룩스㈜,3.54,811점,IH,IH,1.3개,2개,1.4회,1.5회,2.3회,2회,"MOS, 컬러리스트산업기사, 워드프로세서 2급, 전자기기기능사, 정보기기운용기능사"
(주)비상교육,3.65,805점,IH,IH,1개,2.2개,1.5회,1.1회,1.7회,2회,"MOS, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보처리기사, 중등학교정교사"
(주)폴루스바이오팜,3.5,779점,AL,IM2,1.5개,2.2개,2회,2.3회,2회,1.5회,"무선설비기능사, 정보처리기능사, 정보기기운용기능사, 워드프로세서 1급, 전산회계 1급"
(주)원익큐엔씨,3.47,855점,IH,-,-,2.3개,1회,2회,1회,1회,"워드프로세서 2급, 유통관리사 2급, 전기용접기능사, 전산세무 2급, 전산응용기계제도기능사"
(주)휴니드테크놀러지스,3.67,822점,IM1,IL,-,2개,1회,1.7회,1.8회,1.4회,"정보처리기사, 정보처리산업기사, 컴퓨터활용능력 3급, 정보처리기능사, 워드프로세서 2급"
(주)휘닉스소재,3.65,738점,-,-,-,2.2개,1회,1회,2회,2회,"전자기기기능사, 정보처리기능사, 컴퓨터활용능력 2급, 정보기기운용기능사, 전산회계운용사(전산회계사) 3급"
KB오토시스(주),3,603점,-,-,-,2.7개,1회,1회,-,-,"워드프로세서 2급, 컴퓨터활용능력 3급, 워드프로세서 1급, 컴퓨터활용능력 2급, 전자기기기능사"
(주)에스피지,3.55,770점,-,IH,1.5개,2.1개,1.4회,-,3회,2.5회,"워드프로세서 3급, 전자기기기능사, 컴퓨터활용능력 2급, 워드프로세서 1급, MOS"
㈜디초콜릿이앤티에프,3.54,-,IM1,-,-,2.6개,3회,2회,-,-,"워드프로세서 2급, 유통관리사, 자동차정비기능사, 컴퓨터활용능력 3급, 한식조리기능사"
(주)휴비츠,3.63,767점,IM3,IL,1개,2.1개,1.3회,-,2.4회,1.7회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 정보처리기사, 정보기기운용기능사"
조광피혁㈜,3.46,743점,-,IM2,1.3개,2.1개,1.4회,-,5회,1.5회,"산업안전기사, 워드프로세서 1급, MOS, 사무자동화산업기사, 전산회계 1급"
㈜휘닉스파크,3.98,720점,-,-,-,2개,1회,-,-,1.5회,"바리스타 2급, 위생사, 위험물관리기능사, 측량기능사, 한식조리기능사"
㈜인바디,3.6,848점,IH,IH,1.1개,2개,1.2회,1.5회,3.7회,3.2회,"정보처리기사, 정보처리기능사, 컴퓨터활용능력 2급, 워드프로세서 1급, 한국사능력검정시험 1급"
㈜위다스,3.67,795점,IH,-,2개,2.3개,1.3회,-,2.5회,-,"워드프로세서 1급, 정보처리기능사, 정보처리산업기사, 컴퓨터활용능력 2급, 한자급수자격검정"
(주)신성이엔지,3.49,763점,AL,IM1,1개,2.1개,1.3회,2.7회,1회,1.7회,"워드프로세서 1급, 정보기기운용기능사, MOS, 컴퓨터활용능력 2급, 정보처리기능사"
(주)디티에스,3.31,693점,-,-,1개,1.7개,1.3회,1회,-,-,"고등 HSK(한어수평고시), 공조냉동기계기사, 공조냉동기계산업기사, 선반기능사, 전산응용건축제도기능사"
한국교육방송공사,3.57,817점,IM3,IH,1.1개,2.1개,1.3회,1.5회,1.3회,2.2회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 정보기기운용기능사, 정보처리기능사"
화성밸브(주),3.55,580점,-,-,2개,1.9개,-,-,-,-,"전산응용기계제도기능사, 정보기기운용기능사, 정보처리기능사, 워드프로세서 1급, 컴퓨터활용능력 2급"
(주)제넨바이오,3.52,631점,-,-,1개,2.2개,1.4회,1회,2회,2회,"컴퓨터활용능력 2급, 워드프로세서 2급, 정보기술자격(ITQ)인증시험, 전자기기기능사, 워드프로세서 1급"
㈜인성정보,3.52,595점,-,-,1개,2.7개,1회,1.5회,2.5회,2.5회,"CCNA, CCNP, 정보기기운용기능사, 정보처리기사, CCIE"
㈜쉰들러엘리베이터,3.55,838점,AL,NH,-,1.7개,1.1회,2회,2회,2회,"승강기기능사, MOS, 컴퓨터활용능력 2급, 전기기능사, 전산회계 2급"
㈜이노디자인,3.58,758점,-,IM1,1개,1.5개,1.1회,-,1.8회,1회,"컬러리스트산업기사, MOS, 한자 자격 시험, 한자급수자격시험, 시각디자인산업기사"
㈜KB데이타시스템,3.64,807점,IM3,IM3,-,2.2개,1회,1회,2회,1회,"정보처리기사, 워드프로세서 1급, MOS, SCJP, 재경관리사"
㈜한빛소프트,3.49,792점,IH,IH,1.2개,2.2개,1.2회,1회,2회,1.5회,"워드프로세서 1급, 정보처리기사, 컴퓨터그래픽스운용기능사, MOS, 정보처리기능사"
에프에스티,3.47,657점,IH,-,1개,2.3개,2회,1회,2.2회,1.5회,"워드프로세서 2급, 정보기기운용기능사, 정보처리기능사, 전자기기기능사, 워드프로세서 1급"
(주)한글과컴퓨터,3.61,777점,IH,IM1,1.3개,2개,1.1회,1.2회,1.9회,1.9회,"정보처리기사, 워드프로세서 1급, 컴퓨터그래픽스운용기능사, 정보처리기능사, 전산회계운용사(전산회계사) 3급"
㈜알에프윈도우,3.63,775점,IM1,IM2,1개,2.2개,1.3회,1.3회,1.3회,1회,"워드프로세서 2급, 정보처리기능사, 정보처리기사, MOS, 워드프로세서 1급"
(주)셀바스에이아이,3.56,738점,-,IM2,1개,1.6개,1회,2회,3회,2회,"정보처리기사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 2급, MOS, 무선설비기사"
유니메드제약㈜,3.52,860점,IM1,-,1개,2.5개,1.3회,1.7회,1.5회,2회,"컴퓨터활용능력 2급, 워드프로세서 1급, 정보기기운용기능사, 정보처리기능사, 사회복지사"
서한워너터보시스템즈(유),3.51,-,-,IL,1.5개,1.6개,1회,1회,3회,1.2회,"자동차정비기능사, 워드프로세서 2급, 자동차검사기능사, 전자기기기능사, 정밀측정산업기사"
스투트가르트스포츠카(주),3.55,804점,IM3,-,1개,2.3개,1.2회,1.5회,1회,2회,"자동차정비기능사, 자동차정비산업기사, 워드프로세서 1급, 자동차검사기능사, MOS"
(주)원우정밀,3.69,830점,-,-,1개,2.1개,1회,-,1회,-,"워드프로세서 2급, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보기기운용기능사, 정보기술자격(ITQ)인증시험"
(주)오픈타이드코리아,3.56,752점,IH,IM2,1.1개,1.7개,1.3회,1.5회,1.6회,1.8회,"정보처리기사, SCJP, OCP, 컴퓨터활용능력 2급, 워드프로세서 1급"
㈜삼양푸드앤다이닝,3.76,565점,-,-,1개,2.3개,1.7회,-,-,-,"제과기능사, 제빵기능사, 한식조리기능사, 정보처리기능사, 양식조리기능사"
(주)광명전기,3.73,775점,-,-,-,1.8개,1회,2회,1회,3회,"무선설비기사, 전기공사기능사, 전기기기기능사, 전기기사, 정보기기운용기능사"
한국허벌라이프(주),3.58,868점,AL,IM3,1개,2개,1.3회,1회,1.3회,2회,"MOS, 컴퓨터활용능력 3급, 워드프로세서 2급, 정보기기운용기능사, 영양사"
(주)월디스투어,3.45,-,-,-,1.5개,1.6개,1.6회,-,-,-,
자이에스앤디㈜,3.51,665점,IM1,-,1개,2.1개,1.4회,1회,1.9회,1.4회,"워드프로세서 2급, 워드프로세서 1급, 전기기능사, 컴퓨터활용능력 2급, 정보처리기능사"
하나로드림게임즈(주),3.54,702점,-,-,1.5개,2.3개,1.2회,1회,1회,1회,"정보처리기사, 컴퓨터그래픽스운용기능사, 컴퓨터활용능력 2급, 워드프로세서 1급, 정보기기운용기능사"
㈜티시스,3.59,746점,IM3,IM1,1개,2.6개,1.3회,1회,2회,1회,"정보처리기사, SCJP, 컴퓨터활용능력 2급, 리눅스마스터 2급, CCNA"
스위스포트코리아㈜,3.5,811점,IH,IM3,1.1개,2개,1.4회,1.9회,1.7회,1.9회,"MOS, 워드프로세서 1급, 컴퓨터활용능력 2급, 정보기기운용기능사, 정보기술자격(ITQ)인증시험"
메이슨씨앤아이대부(주),3.6,744점,IH,IM3,1개,1.8개,1.1회,-,1회,2회,"컴퓨터활용능력 2급, 증권투자상담사, MOS, 컴퓨터활용능력 3급, 워드프로세서 1급"
(주)삼양에프앤비,3.69,712점,IM1,IM3,1.1개,2.1개,1.1회,2.1회,1.3회,2.2회,"한식조리기능사, 양식조리기능사, 제빵기능사, 일식조리기능사, 제과기능사"
캐논쎄미콘덕터엔지니어링코리아㈜,3.55,777점,IH,IM1,1.3개,1.9개,1.2회,1회,2회,1회,"정보처리기능사, 정보처리기사, 워드프로세서 2급, 워드프로세서 3급, 일본어 능력시험(JLPT)"
한국오바라(주),3.54,450점,-,IM2,1.2개,2.5개,1.4회,1회,1.3회,-,"전산응용기계제도기능사, 정보기기운용기능사, 수치제어밀링기능사, 워드프로세서 1급, 워드프로세서 2급"
호남대학교,3.8,528점,-,-,1.1개,2.5개,1.4회,1회,1회,1회,"사무자동화산업기사, 정보처리기사, 워드프로세서 1급, 기업회계 3급, 워드프로세서 3급"
광주과학기술원,3.7,817점,IM3,IM2,1.1개,2.4개,1.2회,1.6회,2.8회,2.5회,"사무자동화산업기사, 워드프로세서 1급, 정보처리기사, 컴퓨터활용능력 2급, 정보처리기능사"
(주)오투리조트,3.63,738점,-,-,1개,2.2개,1회,3회,2회,1회,"양식조리기능사, 워드프로세서 1급, 전자기기기능사, 보일러취급기능사, 사무자동화산업기사"
알바니인터내셔날코리아(주),3.58,883점,-,-,1개,2.6개,1회,-,-,-,"정보기기운용기능사, 특수용접기능사, 전자기기기능사, MOS, 컴퓨터활용능력 2급"
(주)코아스,3.66,890점,-,-,1.7개,3.4개,-,1.7회,4.4회,1회,"전산응용건축제도기능사, 실기교사, 가구제작기능사, 목공예기능사, 컴퓨터활용능력 2급"
SAMSUNG GLOBAL RESEARCH,3.68,839점,IH,IM3,1.1개,2개,1.2회,1.3회,2.5회,1.4회,"워드프로세서 1급, 컴퓨터활용능력 2급, MOS, 컴퓨터그래픽스운용기능사, 정보처리기능사"
삼성화재서비스손해사정㈜,3.64,777점,AL,IL,1개,2.9개,2회,1.6회,3.2회,1.7회,"컴퓨터활용능력 2급, 워드프로세서 1급, 워드프로세서 2급, 전산회계 1급, 전산세무 2급"
교보핫트랙스(주),3.71,836점,IM3,AL,1.1개,1.8개,1회,2.3회,2회,1.7회,"컴퓨터활용능력 2급, 컴퓨터활용능력 3급, 정보기기운용기능사, 유통관리사, 워드프로세서 2급"
롯데에코월㈜,3.61,715점,IM1,-,1개,1.9개,1회,-,2.3회,1.6회,"건축기사, 실내건축기능사, 워드프로세서 1급, 컴퓨터활용능력 3급, 전기용접기능사"
㈜하이원엔터테인먼트,3.46,-,-,-,1개,1.8개,1회,-,2.7회,2회,"워드프로세서 2급, 전산응용기계제도기능사, 정보기기운용기능사, 수치제어밀링기능사, 컴퓨터활용능력 3급"
브이피㈜,3.36,817점,IH,IL,-,2.6개,1회,1회,1.5회,2.5회,"정보처리기사, 워드프로세서 1급, 정보처리기능사, 정보기술자격(ITQ)인증시험, CCNA"
코오롱베니트(주),3.57,809점,IM2,IM3,1개,2.5개,1.2회,1.4회,1.8회,1.6회,"정보처리기사, 컴퓨터활용능력 2급, SCJP, 워드프로세서 1급, 정보처리산업기사"
(주)포켓몬코리아,3.76,798점,AL,-,1.4개,2개,1.4회,1회,2.7회,1회,"일본어 능력시험(JLPT), 워드프로세서 1급, 워드프로세서 2급, 정보기기운용기능사, 컴퓨터활용능력 2급"
한국호야전자㈜,3.59,855점,IH,-,1개,2.2개,1회,-,-,5회,"컴퓨터활용능력 2급, 가스산업기사, 공유압기능사, 기계및시스템 제어사, 상공회의소한자"
GS왓슨스,3.47,778점,IH,-,1.3개,1.6개,1.3회,1.5회,2회,2.4회,"유통관리사, 컴퓨터활용능력 2급, 컴퓨터활용능력 3급, MOS, 워드프로세서 1급"
